index,index2,Accession,family,Plot,Plant,Plant Height,Lateral tillers,Compact,FALL Rhizomes,Rhiz_num,Genotype?,Regrowth
A1D185-T34-2-5,A1D185.T34.2.5,A1D185-T34,A1D185,2,5,5.06,2,3,BT,0.5,Y,NO
A1D185-T34-2-6,A1D185.T34.2.6,A1D185-T34,A1D185,2,6,Late flowering,Late flowering,5,NR,0,Y,NO
A1D185-T34-2-11,A1D185.T34.2.11,A1D185-T34,A1D185,2,11,5.06,4,3,++R,2,Y,NO
A1D185-T34-2-12,A1D185.T34.2.12,A1D185-T34,A1D185,2,12,7.05,6,4,++R,2,Y,NO
A1D185-T34-2-16,A1D185.T34.2.16,A1D185-T34,A1D185,2,16,7.04,1,3,+R,1,Y,NO
A1D185-T34-2-21,A1D185.T34.2.21,A1D185-T34,A1D185,2,21,6.04,1,NA,NR,0,Y,Yes
A1D185-T34-2-24,A1D185.T34.2.24,A1D185-T34,A1D185,2,24,4.07,2,4,+R,1,Y,Yes
A1D185-T34-2-25,A1D185.T34.2.25,A1D185-T34,A1D185,2,25,7.04,0,5,++R,2,Y,NO
A1D185-T34-2-26,A1D185.T34.2.26,A1D185-T34,A1D185,2,26,5.04,1,4,++R,2,Y,NO
A1D80-S2-3-10,A1D80.S2.3.10,A1D80-S2,A1D80,3,10,3,1,NA,NR,0,Y,NO
A1D80-S2-3-24,A1D80.S2.3.24,A1D80-S2,A1D80,3,24,5.07,3,3,BT,0.5,Y,NO
A1D80-S2-3-30,A1D80.S2.3.30,A1D80-S2,A1D80,3,30,4.08,0,NA,+R,1,Y,NO
A1D80-S2-3-35,A1D80.S2.3.35,A1D80-S2,A1D80,3,35,3.05,2,3 GRASSY,NR,0,Y,NO
A1D80-S2-3-37,A1D80.S2.3.37,A1D80-S2,A1D80,3,37,4,3,3,++R,2,Y,Yes
A1D80-S2-3-38,A1D80.S2.3.38,A1D80-S2,A1D80,3,38,4,1,NA,+R,1,Y,Yes
A1D80-S2-3-39,A1D80.S2.3.39,A1D80-S2,A1D80,3,39,4.07,2,4,NR,0,Y,Yes
A1D80-S2-3-41,A1D80.S2.3.41,A1D80-S2,A1D80,3,41,6.03,2,3,+R,1,Y,NO
A1D156-T4-4-6,A1D156.T4.4.6,A1D156-T4,A1D156,4,6,4,2,,BT,0.5,Y,NO
A1D156-T4-4-7,A1D156.T4.4.7,A1D156-T4,A1D156,4,7,4.05,3,,+R,1,Y,NO
A1D156-T4-4-15,A1D156.T4.4.15,A1D156-T4,A1D156,4,15,4.08,1,,BT,0.5,Y,NO
A1D185-T9-5-5,A1D185.T9.5.5,A1D185-T9,A1D185,5,5,4,1,,+R,1,Y,NO
A1D185-T9-5-6,A1D185.T9.5.6,A1D185-T9,A1D185,5,6,6.11,1,,+R,1,Y,Yes
A1D185-T9-5-8,A1D185.T9.5.8,A1D185-T9,A1D185,5,8,6.03,2,,NR,0,Y,Yes
A1D185-T9-5-12,A1D185.T9.5.12,A1D185-T9,A1D185,5,12,Late flowering,Late flowering,,BT,0.5,Y,NO
A1D185-T9-5-17,A1D185.T9.5.17,A1D185-T9,A1D185,5,17,Late flowering,Late flowering,,BT,0.5,Y,NO
A1D185-T9-5-23,A1D185.T9.5.23,A1D185-T9,A1D185,5,23,6.06,3,,NR,0,Y,NO
A1D185-T9-5-24,A1D185.T9.5.24,A1D185-T9,A1D185,5,24,Late flowering,Late flowering,,+++R,3,Y,NO
A1D183-S1-6-3,A1D183.S1.6.3,A1D183-S1,A1D183,6,3,8.01,0,,BT,0.5,Y,NO
A1D183-S1-6-9,A1D183.S1.6.9,A1D183-S1,A1D183,6,9,Late flowering,Late flowering,,BT,0.5,Y,NO
A1D183-S1-6-14,A1D183.S1.6.14,A1D183-S1,A1D183,6,14,5.09,0,,+R,1,Y,NO
A1D183-S1-6-29,A1D183.S1.6.29,A1D183-S1,A1D183,6,29,8.09,0,,+R,1,Y,NO
A1D183-S1-6-33,A1D183.S1.6.33,A1D183-S1,A1D183,6,33,3,0,,NR,0,Y,NO
A1D183-S1-6-35,A1D183.S1.6.35,A1D183-S1,A1D183,6,35,7.07,0,,++R,2,Y,NO
A1D183-S1-6-36,A1D183.S1.6.36,A1D183-S1,A1D183,6,36,Late flowering,Late flowering,,++R,2,Y,NO
A1D183-S1-6-42,A1D183.S1.6.42,A1D183-S1,A1D183,6,42,7.01,0,,++R,2,Y,NO
A1D183-S1-6-48,A1D183.S1.6.48,A1D183-S1,A1D183,6,48,4.05,0,,NR,0,Y,NO
A1D162-S2-8-1,A1D162.S2.8.1,A1D162-S2,A1D162,8,1,4.1,2,,+R,1,Y,NO
A1D162-S2-8-2,A1D162.S2.8.2,A1D162-S2,A1D162,8,2,4,2,,+R,1,Y,NO
A1D162-S2-8-3,A1D162.S2.8.3,A1D162-S2,A1D162,8,3,4.07,2,,NR,0,Y,NO
A1D162-S2-8-4,A1D162.S2.8.4,A1D162-S2,A1D162,8,4,4,2,,+R,1,Y,NO
A1D162-S2-8-5,A1D162.S2.8.5,A1D162-S2,A1D162,8,5,2,1,,+R,1,Y,NO
A1D162-S2-8-6,A1D162.S2.8.6,A1D162-S2,A1D162,8,6,5.07,2,,BT,0.5,Y,NO
A1D162-S2-8-7,A1D162.S2.8.7,A1D162-S2,A1D162,8,7,3,1,,NR,0,Y,NO
A1D162-S2-8-8,A1D162.S2.8.8,A1D162-S2,A1D162,8,8,6.01,3,,NR,0,Y,NO
A1D162-S2-8-9,A1D162.S2.8.9,A1D162-S2,A1D162,8,9,5,3,,NR,0,Y,NO
A1D162-S2-8-10,A1D162.S2.8.10,A1D162-S2,A1D162,8,10,5.02,2,,+R,1,Y,NO
A1D162-S2-8-12,A1D162.S2.8.12,A1D162-S2,A1D162,8,12,4,2,,NR,0,Y,NO
A1D162-S2-8-14,A1D162.S2.8.14,A1D162-S2,A1D162,8,14,4,1,,NR,0,Y,NO
A1D162-S2-8-15,A1D162.S2.8.15,A1D162-S2,A1D162,8,15,4.05,1,,BT,0.5,Y,NO
A1D162-S2-8-16,A1D162.S2.8.16,A1D162-S2,A1D162,8,16,4,2,,+R,1,Y,NO
